ds,yhat,company,model
1998-08-12,42.02899007563888,Amazon,Prophet
1998-08-13,41.50511456329408,Amazon,Prophet
1998-08-14,39.48782998777095,Amazon,Prophet
1998-08-17,41.27166223850914,Amazon,Prophet
1998-08-18,44.01529340788995,Amazon,Prophet
1998-08-19,45.61044737078847,Amazon,Prophet
1998-08-20,46.1430787666436,Amazon,Prophet
1998-08-21,45.06808517662794,Amazon,Prophet
1998-08-24,48.84986709939967,Amazon,Prophet
1998-08-25,51.948688155778804,Amazon,Prophet
1998-08-26,53.73365419051382,Amazon,Prophet
1998-08-27,54.28926844069217,Amazon,Prophet
1998-08-28,53.072013058258094,Amazon,Prophet
1998-08-31,55.49508354066354,Amazon,Prophet
1998-09-01,57.86365508455037,Amazon,Prophet
1998-09-02,58.802285743429564,Amazon,Prophet
1998-09-03,58.41200441474869,Amazon,Prophet
1998-09-04,56.16734345298944,Amazon,Prophet
1998-09-08,56.427979955930894,Amazon,Prophet
1998-09-09,56.229749417271385,Amazon,Prophet
1998-09-10,54.74043865377904,Amazon,Prophet
1998-09-11,51.4527857205331,Amazon,Prophet
1998-09-14,47.866732817863095,Amazon,Prophet
1998-09-15,48.41085365364839,Amazon,Prophet
1998-09-16,47.66433515709986,Amazon,Prophet
1998-09-17,45.75374508284522,Amazon,Prophet
1998-09-18,42.17556637801764,Amazon,Prophet
1998-09-21,38.50238838876188,Amazon,Prophet
1998-09-22,39.266864654867405,Amazon,Prophet
1998-09-23,38.8537560948163,Amazon,Prophet
1998-09-24,37.37965709183781,Amazon,Prophet
1998-09-25,34.32940125490235,Amazon,Prophet
1998-09-28,32.65264522126795,Amazon,Prophet
1998-09-29,34.17042449418391,Amazon,Prophet
1998-09-30,34.52855315462722,Amazon,Prophet
1998-10-01,33.82802443322676,Amazon,Prophet
1998-10-02,31.538491133872594,Amazon,Prophet
1998-10-05,31.92723784759859,Amazon,Prophet
1998-10-06,34.020608179748656,Amazon,Prophet
1998-10-07,34.881194865478264,Amazon,Prophet
1998-10-08,34.60253871930661,Amazon,Prophet
1998-10-09,32.648710726846105,Amazon,Prophet
1998-10-12,33.5009441033909,Amazon,Prophet
1998-10-13,35.56845955045644,Amazon,Prophet
1998-10-14,36.31813257144376,Amazon,Prophet
1998-10-15,35.8491745173191,Amazon,Prophet
1998-10-16,33.63285732766862,Amazon,Prophet
1998-10-19,33.3554392550426,Amazon,Prophet
1998-10-20,34.96742724984689,Amazon,Prophet
1998-10-21,35.24117298000534,Amazon,Prophet
1998-10-22,34.287742217772504,Amazon,Prophet
1998-10-23,31.590174786423958,Amazon,Prophet
1998-10-26,29.999639675427268,Amazon,Prophet
1998-10-27,31.250877495817996,Amazon,Prophet
1998-10-28,31.21652281651586,Amazon,Prophet
1998-10-29,30.014279680974422,Amazon,Prophet
1998-10-30,27.132406045396912,Amazon,Prophet
1998-11-02,25.405326521384662,Amazon,Prophet
1998-11-03,26.75180331614561,Amazon,Prophet
1998-11-04,26.880192554063385,Amazon,Prophet
1998-11-05,25.904287025953696,Amazon,Prophet
1998-11-06,23.30711366374847,Amazon,Prophet
1998-11-09,22.715204097224685,Amazon,Prophet
1998-11-10,24.50632096888811,Amazon,Prophet
1998-11-11,25.097224546327293,Amazon,Prophet
1998-11-12,24.59206975384921,Amazon,Prophet
1998-11-13,22.464216333618023,Amazon,Prophet
1998-11-16,23.178905167608367,Amazon,Prophet
1998-11-17,25.34349456319561,Amazon,Prophet
1998-11-18,26.264637499741845,Amazon,Prophet
1998-11-19,26.04063699856598,Amazon,Prophet
1998-11-20,24.14014382542004,Amazon,Prophet
1998-11-23,25.185713771946293,Amazon,Prophet
1998-11-24,27.340506441978974,Amazon,Prophet
1998-11-25,28.193505945822686,Amazon,Prophet
1998-11-27,25.770226240026197,Amazon,Prophet
1998-11-30,26.035251712924637,Amazon,Prophet
1998-12-01,27.866622763653478,Amazon,Prophet
1998-12-02,28.376809216189294,Amazon,Prophet
1998-12-03,27.67474890237734,Amazon,Prophet
1998-12-04,25.240891383853192,Amazon,Prophet
1998-12-07,24.483955137410504,Amazon,Prophet
1998-12-08,26.00950447704753,Amazon,Prophet
1998-12-09,26.244175678336166,Amazon,Prophet
1998-12-10,25.301739325669235,Amazon,Prophet
1998-12-11,22.666573676902637,Amazon,Prophet
1998-12-14,21.564765019414757,Amazon,Prophet
1998-12-15,23.070695098960858,Amazon,Prophet
1998-12-16,23.329669051075744,Amazon,Prophet
1998-12-17,22.45356538694176,Amazon,Prophet
1998-12-18,19.924054151778638,Amazon,Prophet
1998-12-21,19.337984395939795,Amazon,Prophet
1998-12-22,21.06718914245,Amazon,Prophet
1998-12-23,21.566877783042596,Amazon,Prophet
1998-12-24,20.94379848224641,Amazon,Prophet
1998-12-28,18.865838926803562,Amazon,Prophet
1998-12-29,20.83936004332054,Amazon,Prophet
1998-12-30,21.570463986499654,Amazon,Prophet
1998-12-31,21.163533083421456,Amazon,Prophet
1999-01-04,19.77411940931939,Amazon,Prophet
1999-01-05,21.875790553735634,Amazon,Prophet
1999-01-06,22.71959259910498,Amazon,Prophet
1999-01-07,22.411860997148,Amazon,Prophet
1999-01-08,20.42983295109498,Amazon,Prophet
1999-01-11,21.33371060622618,Amazon,Prophet
1999-01-12,23.505213481143052,Amazon,Prophet
1999-01-13,24.420781164965547,Amazon,Prophet
1999-01-14,24.188883497025248,Amazon,Prophet
1999-01-15,22.288485024137717,Amazon,Prophet
1999-01-19,25.76441564480408,Amazon,Prophet
1999-01-20,26.797335158774544,Amazon,Prophet
1999-01-21,26.68691802688976,Amazon,Prophet
1999-01-22,24.909659649125015,Amazon,Prophet
1999-01-25,26.449492237448503,Amazon,Prophet
1999-01-26,28.827456547040512,Amazon,Prophet
1999-01-27,29.938080760048187,Amazon,Prophet
1999-01-28,29.88352294417296,Amazon,Prophet
1999-01-29,28.13589707656878,Amazon,Prophet
1999-02-01,29.567236411889922,Amazon,Prophet
1999-02-02,31.832034976463508,Amazon,Prophet
1999-02-03,32.7868600872876,Amazon,Prophet
1999-02-04,32.532476801603735,Amazon,Prophet
1999-02-05,30.54043667238354,Amazon,Prophet
1999-02-08,30.978732507531767,Amazon,Prophet
1999-02-09,32.83303777694491,Amazon,Prophet
1999-02-10,33.343401813028414,Amazon,Prophet
1999-02-11,32.61527886253367,Amazon,Prophet
1999-02-12,30.125620166909698,Amazon,Prophet
1999-02-16,30.31567134595224,Amazon,Prophet
1999-02-17,30.306916470797333,Amazon,Prophet
1999-02-18,29.076439355732976,Amazon,Prophet
1999-02-19,26.10802621442049,Amazon,Prophet
1999-02-22,23.739923318821585,Amazon,Prophet
1999-02-23,24.740060212881048,Amazon,Prophet
1999-02-24,24.45570937087252,Amazon,Prophet
1999-02-25,23.00229849468682,Amazon,Prophet
1999-02-26,19.86560240227704,Amazon,Prophet
1999-03-01,17.32641157778874,Amazon,Prophet
1999-03-02,18.378202876795445,Amazon,Prophet
1999-03-03,18.196486991907978,Amazon,Prophet
1999-03-04,16.89359843685495,Amazon,Prophet
1999-03-05,13.951647619064783,Amazon,Prophet
1999-03-08,12.219469792514221,Amazon,Prophet
1999-03-09,13.599317034893964,Amazon,Prophet
1999-03-10,13.767554177826504,Amazon,Prophet
1999-03-11,12.83220550037193,Amazon,Prophet
1999-03-12,10.27142131799608,Amazon,Prophet
1999-03-15,9.732236568493654,Amazon,Prophet
1999-03-16,11.518449253673353,Amazon,Prophet
1999-03-17,12.095137474811054,Amazon,Prophet
1999-03-18,11.56997136364999,Amazon,Prophet
1999-03-19,9.421386880482459,Amazon,Prophet
1999-03-22,10.142058834713353,Amazon,Prophet
1999-03-23,12.36182486622554,Amazon,Prophet
1999-03-24,13.382452627281193,Amazon,Prophet
1999-03-25,13.313878668261125,Amazon,Prophet
1999-03-26,11.636677393501799,Amazon,Prophet
1999-03-29,13.876570823295449,Amazon,Prophet
1999-03-30,16.640527743673463,Amazon,Prophet
1999-03-31,18.223832650842983,Amazon,Prophet
1999-04-01,18.734888639113638,Amazon,Prophet
1999-04-05,21.72057852059369,Amazon,Prophet
1999-04-06,25.091415319285083,Amazon,Prophet
1999-04-07,27.26877336669132,Amazon,Prophet
1999-04-08,28.353009610168094,Amazon,Prophet
1999-04-09,27.813556442339976,Amazon,Prophet
1999-04-12,33.24454210878957,Amazon,Prophet
1999-04-13,36.94892389700351,Amazon,Prophet
